iteracion,reloj,evento,rnd_llegada,prox_llegada,rnd_asignacion,tecnico_asignado,rnd_diagnostico,tiempo_diagnostico,hora_fin_diagnostico,importe,espera,tecnicos,cola,cupones
0,8.39,Llegada,0.6474,-,0.3123,Técnico A,0.2806,11.56,19.95,3500,0.0,"['libre', 'libre', 'libre']","[0, 0, 0]",0
1,11.8,Llegada,0.2206,-,0.6749,Técnico B,0.4427,14.66,26.45,3500,0.0,"['libre', 'ocupado', 'libre']","[0, 0, 0]",0
2,19.25,Llegada,0.212,-,0.2146,Técnico A,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 0, 0]",0
3,19.95,Fin_atencion,-,-,-,Técnico A,-,-,19.95,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 1, 0]",0
4,26.45,Fin_atencion,-,-,-,Técnico B,-,-,26.45,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 0, 0]",0
5,29.59,Llegada,0.6204,-,0.3128,Técnico A,-,-,-,3500,0.0,"['libre', 'ocupado', 'libre']","[0, 0, 0]",0
6,32.44,Fin_atencion,-,-,-,Técnico A,-,-,32.44,3500,0.7,"['libre', 'ocupado', 'libre']","[0, 1, 0]",0
7,35.84,Llegada,0.9956,-,0.7638,Técnico B,0.5516,15.31,51.15,3500,0.0,"['libre', 'ocupado', 'libre']","[0, 0, 0]",0
8,40.04,Llegada,0.3776,-,0.9856,Técnico B,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 0, 0]",0
9,44.01,Fin_atencion,-,-,-,Técnico A,-,-,44.01,3500,2.85,"['libre', 'ocupado', 'ocupado']","[0, 0, 1]",0
10,44.31,Llegada,0.3318,-,0.77,Técnico B,-,-,-,3500,0.0,"['libre', 'libre', 'ocupado']","[0, 0, 1]",0
11,51.15,Fin_atencion,-,-,-,Técnico B,-,-,51.15,3500,0.0,"['libre', 'libre', 'ocupado']","[0, 0, 2]",0
12,54.39,Llegada,0.8482,-,0.1342,Aprendiz,0.0754,20.75,75.14,1800,0.0,"['libre', 'libre', 'ocupado']","[0, 0, 1]",0
13,60.65,Llegada,0.6473,-,0.1222,Aprendiz,-,-,-,1800,0.0,"['ocupado', 'libre', 'ocupado']","[0, 0, 1]",0
14,68.98,Fin_atencion,-,-,-,Técnico B,-,-,68.98,3500,11.11,"['ocupado', 'libre', 'ocupado']","[1, 0, 1]",0
15,71.83,Llegada,0.4845,-,0.8439,Técnico B,-,-,-,3500,0.0,"['ocupado', 'libre', 'ocupado']","[1, 0, 0]",0
16,75.14,Fin_atencion,-,-,-,Aprendiz,-,-,75.14,1800,0.0,"['ocupado', 'libre', 'ocupado']","[1, 0, 1]",0
17,78.5,Llegada,0.9615,-,0.6464,Técnico B,-,-,-,3500,0.0,"['ocupado', 'libre', 'ocupado']","[0, 0, 1]",0
18,81.39,Fin_atencion,-,-,-,Técnico B,-,-,81.39,3500,24.67,"['ocupado', 'libre', 'ocupado']","[0, 0, 2]",0
19,88.84,Llegada,0.9851,-,0.9797,Técnico B,-,-,-,3500,0.0,"['ocupado', 'libre', 'ocupado']","[0, 0, 1]",0
20,91.9,Llegada,0.1771,-,0.201,Técnico A,0.3975,11.79,103.7,3500,0.0,"['ocupado', 'libre', 'ocupado']","[0, 0, 2]",0
21,97.3,Fin_atencion,-,-,-,Técnico B,-,-,97.3,3500,9.57,"['ocupado', 'ocupado', 'ocupado']","[0, 0, 2]",0
22,99.86,Fin_atencion,-,-,-,Aprendiz,-,-,99.86,1800,14.49,"['ocupado', 'ocupado', 'ocupado']","[0, 0, 1]",0
23,102.7,Llegada,0.1443,-,0.689,Técnico B,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 0, 1]",0
24,103.7,Fin_atencion,-,-,-,Técnico A,-,-,103.7,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 0, 2]",0
25,106.7,Llegada,0.5506,-,0.7953,Técnico B,-,-,-,3500,0.0,"['libre', 'libre', 'ocupado']","[0, 0, 2]",0
26,112.7,Fin_atencion,-,-,-,Técnico B,-,-,112.7,3500,18.79,"['libre', 'libre', 'ocupado']","[0, 0, 3]",0
27,114.36,Llegada,0.5962,-,0.4185,Técnico A,0.6768,12.35,126.71,3500,0.0,"['libre', 'libre', 'ocupado']","[0, 0, 2]",0
28,118.4,Llegada,0.6354,-,0.29,Técnico A,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 0, 2]",0
29,120.45,Llegada,0.7264,-,0.1291,Aprendiz,0.588,25.88,146.33,1800,0.0,"['libre', 'ocupado', 'ocupado']","[0, 1, 2]",0
30,126.04,Llegada,0.0023,-,0.8166,Técnico B,-,-,-,3500,0.0,"['ocupado', 'ocupado', 'ocupado']","[0, 1, 2]",0
31,126.71,Fin_atencion,-,-,-,Técnico A,-,-,126.71,3500,0.0,"['ocupado', 'ocupado', 'ocupado']","[0, 1, 3]",0
32,128.07,Fin_atencion,-,-,-,Técnico B,-,-,128.07,3500,23.86,"['ocupado', 'ocupado', 'ocupado']","[0, 0, 3]",0
33,137.62,Llegada,0.8577,-,0.7852,Técnico B,-,-,-,3500,0.0,"['ocupado', 'ocupado', 'ocupado']","[0, 0, 2]",0
34,137.78,Fin_atencion,-,-,-,Técnico A,-,-,137.78,3500,8.31,"['ocupado', 'ocupado', 'ocupado']","[0, 0, 3]",0
35,139.71,Llegada,0.6838,-,0.3455,Técnico A,0.8077,12.62,152.32,3500,0.0,"['ocupado', 'libre', 'ocupado']","[0, 0, 3]",0
36,140.14,Fin_atencion,-,-,-,Técnico B,-,-,140.14,3500,25.37,"['ocupado', 'ocupado', 'ocupado']","[0, 0, 3]",0
37,142.87,Llegada,0.6456,-,0.4531,Técnico A,-,-,-,3500,0.0,"['ocupado', 'ocupado', 'ocupado']","[0, 0, 2]",0
38,146.33,Fin_atencion,-,-,-,Aprendiz,-,-,146.33,1800,0.0,"['ocupado', 'ocupado', 'ocupado']","[0, 1, 2]",0
39,149.08,Llegada,0.5893,-,0.7329,Técnico B,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 1, 2]",0
40,152.3,Llegada,0.6765,-,0.5944,Técnico A,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 1, 3]",0
41,152.32,Fin_atencion,-,-,-,Técnico A,-,-,152.32,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 2, 3]",0
42,155.44,Fin_atencion,-,-,-,Técnico B,-,-,155.44,3500,33.44,"['libre', 'ocupado', 'ocupado']","[0, 1, 3]",0
43,158.45,Llegada,0.1296,-,0.7666,Técnico B,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 1, 2]",1500
44,163.39,Fin_atencion,-,-,-,Técnico A,-,-,163.39,3500,9.45,"['libre', 'ocupado', 'ocupado']","[0, 1, 3]",1500
45,166.6,Llegada,0.9395,-,0.9468,Técnico B,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 0, 3]",1500
46,171.79,Fin_atencion,-,-,-,Técnico B,-,-,171.79,3500,29.4,"['libre', 'ocupado', 'ocupado']","[0, 0, 4]",1500
47,174.66,Fin_atencion,-,-,-,Técnico A,-,-,174.66,3500,11.09,"['libre', 'ocupado', 'ocupado']","[0, 0, 3]",1500
48,176.97,Llegada,0.4714,-,0.1906,Técnico A,0.3412,11.68,188.65,3500,0.0,"['libre', 'libre', 'ocupado']","[0, 0, 3]",1500
49,181.58,Llegada,0.9661,-,0.0407,Aprendiz,0.7576,27.58,209.15,1800,0.0,"['libre', 'ocupado', 'ocupado']","[0, 0, 3]",1500
50,183.83,Fin_atencion,-,-,-,Técnico B,-,-,183.83,3500,34.18,"['ocupado', 'ocupado', 'ocupado']","[0, 0, 3]",1500
51,187.3,Llegada,0.1907,-,0.3654,Técnico A,-,-,-,3500,0.0,"['ocupado', 'ocupado', 'ocupado']","[0, 0, 2]",3000
52,188.65,Fin_atencion,-,-,-,Técnico A,-,-,188.65,3500,0.0,"['ocupado', 'ocupado', 'ocupado']","[0, 1, 2]",3000
53,195.77,Llegada,0.3225,-,0.2187,Técnico A,-,-,-,3500,0.0,"['ocupado', 'ocupado', 'ocupado']","[0, 0, 2]",3000
54,199.63,Fin_atencion,-,-,-,Técnico B,-,-,199.63,3500,34.75,"['ocupado', 'ocupado', 'ocupado']","[0, 1, 2]",3000
55,199.79,Llegada,0.0581,-,0.6052,Técnico B,-,-,-,3500,0.0,"['ocupado', 'ocupado', 'ocupado']","[0, 1, 1]",4500
56,200.79,Fin_atencion,-,-,-,Técnico A,-,-,200.79,3500,1.36,"['ocupado', 'ocupado', 'ocupado']","[0, 1, 2]",4500
57,209.15,Fin_atencion,-,-,-,Aprendiz,-,-,209.15,1800,0.0,"['ocupado', 'ocupado', 'ocupado']","[0, 0, 2]",4500
58,211.07,Llegada,0.6798,-,0.4914,Técnico A,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 0, 2]",4500
